Federal Office of Meteorology and Climatology MeteoSwiss
MeteoSchweiz / MeteoSuisse / MeteoSvizzera / MeteoSwiss

Monthly homogenized values

Station:                  Davos
Altitude [m asl]:         1594 m
Coordinates:              46° 48.8' N / 9° 50.6' E

Reference date of homogenization:
         Temperature:     01.12.2009
         Precipitation:   01.12.2007

Last inhomogeneity provisionally corrected:
         Temperature:     yes
         Precipitation:   no

Units:
         Temperature:     °C
         Precipitation:   mm

Missing values:           NA

Data source:              MeteoSwiss
Creation date:            7.12.2015


Year  Month        Temperature      Precipitation  
1874      8                9.4               72.4  
1874      9                9.6               20.5  
1874     10                4.7               13.0  
1874     11               -5.0              232.4  
1874     12               -8.4               33.6  
1875      1               -5.1              130.5  
1875      2               -8.3               99.5  
1875      3               -4.0                 NA  
1875      4                0.2                 NA  
1875      5                7.9                 NA  
1875      6                9.8                 NA  
1875      7               10.3                 NA  
1875      8               11.9                 NA  
1875      9                8.3                 NA  
1875     10                2.8                 NA  
1875     11               -2.8                 NA  
1875     12               -7.3                 NA  
1876      1               -6.6              106.9  
1876      2               -4.5              172.9  
1876      3               -1.7              144.0  
1876      4                2.6              138.5  
1876      5                3.2               71.8  
1876      6                9.4              134.3  
1876      7               11.8               53.8  
1876      8               11.2              100.9  
1876      9                6.6               62.3  
1876     10                5.6               16.5  
1876     11               -2.8               45.0  
1876     12               -2.5               67.5  
1877      1               -3.9               66.2  
1877      2               -3.5              179.3  
1877      3               -4.1              101.0  
1877      4                0.6               95.8  
1877      5                3.8              111.3  
1877      6               12.0              142.5  
1877      7                9.9              230.6  
1877      8               12.2              104.6  
1877      9                5.8               17.5  
1877     10                1.4               33.2  
1877     11               -0.3               73.3  
1877     12               -6.4               90.9  
1878      1               -8.8              116.2  
1878      2               -4.3               17.1  
1878      3               -4.5              184.8  
1878      4                1.3               76.1  
1878      5                6.4              130.3  
1878      6                8.9              141.8  
1878      7               10.1              170.7  
1878      8               11.1              176.1  
1878      9                7.9              154.8  
1878     10                4.3               64.6  
1878     11               -3.7               90.3  
1878     12               -8.2               33.5  
1879      1               -6.2               29.1  
1879      2               -4.5               78.1  
1879      3               -1.8               26.7  
1879      4               -0.1               78.7  
1879      5                2.8              101.4  
1879      6                9.5               98.8  
1879      7                8.1              181.9  
1879      8               12.3              126.9  
1879      9                8.1               52.1  
1879     10                2.6               28.4  
1879     11               -5.4              117.1  
1879     12               -9.6               30.6  
1880      1               -9.3               22.2  
1880      2               -3.7               38.4  
1880      3               -0.5               44.9  
1880      4                2.7               55.7  
1880      5                5.3               78.4  
1880      6                7.7              203.7  
1880      7               12.4              147.5  
1880      8                9.3              174.4  
1880      9                7.7              120.5  
1880     10                4.2              139.5  
1880     11               -0.4               66.7  
1880     12               -2.6              121.5  
1881      1               -9.4               17.2  
1881      2               -4.2               58.1  
1881      3               -1.1               70.1  
1881      4                1.5               60.6  
1881      5                5.3               91.1  
1881      6                8.1               45.7  
1881      7               13.0              124.4  
1881      8               11.0              141.5  
1881      9                5.7              143.6  
1881     10                0.3               54.3  
1881     11                0.9               20.7  
1881     12               -4.9               26.4  
1882      1               -4.5                5.7  
1882      2               -4.7               14.6  
1882      3               -0.7               28.6  
1882      4                1.3               40.5  
1882      5                6.9               46.4  
1882      6                8.4              200.3  
1882      7                9.9              122.2  
1882      8                8.2              198.9  
1882      9                6.6              163.5  
1882     10                4.0              123.8  
1882     11               -1.9               83.2  
1882     12               -4.5              167.7  
1883      1               -5.4               18.0  
1883      2               -3.2               12.9  
1883      3               -6.1               22.8  
1883      4                0.1               13.9  
1883      5                5.4               64.5  
1883      6                8.3              148.9  
1883      7                9.5              174.7  
1883      8                9.9               73.1  
1883      9                7.0              163.7  
1883     10                1.6               40.4  
1883     11               -2.2               34.0  
1883     12               -6.5              113.2  
1884      1               -4.9               62.9  
1884      2               -3.8               25.6  
1884      3               -1.6                5.7  
1884      4                1.6               24.1  
1884      5                7.3               59.1  
1884      6                5.9               91.6  
1884      7               11.5              163.3  
1884      8               10.9              100.1  
1884      9                8.0               32.2  
1884     10                1.7               25.6  
1884     11               -3.4               10.1  
1884     12               -5.0               35.9  
1885      1               -8.1                4.0  
1885      2               -1.7               28.2  
1885      3               -1.2               11.3  
1885      4                3.0               35.5  
1885      5                4.0               99.9  
1885      6               10.8               59.9  
1885      7               11.7              112.1  
1885      8                9.7              111.1  
1885      9                6.7              239.7  
1885     10                1.8              113.6  
1885     11               -0.2               40.1  
1885     12               -6.3               14.1  
1886      1               -7.5               29.7  
1886      2               -7.9               29.7  
1886      3               -4.4               18.4  
1886      4                2.9               42.6  
1886      5                6.5               44.9  
1886      6                7.2              158.2  
1886      7               11.3              142.1  
1886      8               10.3              119.4  
1886      9                9.1               40.3  
1886     10                4.6               46.6  
1886     11               -1.6               48.7  
1886     12               -5.6               86.3  
1887      1               -9.7                7.5  
1887      2               -8.3                5.6  
1887      3               -3.7               46.4  
1887      4                0.9               23.5  
1887      5                2.9               48.8  
1887      6                9.9               21.4  
1887      7               12.3              116.9  
1887      8                9.9              128.1  
1887      9                6.3               76.4  
1887     10               -0.7               35.2  
1887     11               -2.0               43.2  
1887     12               -8.1               93.3  
1888      1               -8.1               57.0  
1888      2               -6.9              128.5  
1888      3               -3.7               69.6  
1888      4               -0.5               46.4  
1888      5                6.3               10.7  
1888      6                9.1               59.2  
1888      7                8.3               85.5  
1888      8                8.8              148.5  
1888      9                8.0              152.1  
1888     10                0.9               69.8  
1888     11                0.0               72.0  
1888     12               -4.0                2.0  
1889      1               -6.9               23.3  
1889      2               -7.8              124.5  
1889      3               -5.2               27.9  
1889      4               -1.0               82.4  
1889      5                6.9               80.5  
1889      6               10.0              148.0  
1889      7               10.1              139.1  
1889      8                9.5              130.6  
1889      9                6.2               92.5  
1889     10                3.4              112.5  
1889     11               -1.0               22.0  
1889     12               -8.6               15.4  
1890      1               -4.1               41.2  
1890      2               -8.1                1.0  
1890      3               -2.6               51.2  
1890      4                1.1               37.4  
1890      5                7.1               84.5  
1890      6                7.8              182.5  
1890      7                8.9              172.7  
1890      8                9.8              228.8  
1890      9                6.2               40.9  
1890     10                0.8               69.7  
1890     11               -3.2               73.1  
1890     12               -9.1               11.5  
1891      1              -12.3               37.1  
1891      2               -7.0               11.5  
1891      3               -2.8               39.7  
1891      4               -1.0               42.9  
1891      5                5.9               83.6  
1891      6                9.2              129.2  
1891      7                9.5              204.9  
1891      8                8.5              228.5  
1891      9                8.1               60.1  
1891     10                4.4               46.6  
1891     11               -1.7               38.3  
1891     12               -4.9              142.2  
1892      1               -7.0               69.4  
1892      2               -4.2              180.6  
1892      3               -5.6               18.6  
1892      4                0.5               45.5  
1892      5                5.9               22.8  
1892      6                8.6              212.6  
1892      7               10.2              136.9  
1892      8               11.0               68.5  
1892      9                7.7               97.6  
1892     10                2.7               57.3  
1892     11               -0.1               15.0  
1892     12               -7.3               18.2  
1893      1              -10.6               82.0  
1893      2               -5.3              120.5  
1893      3               -1.9               22.2  
1893      4                3.6               21.6  
1893      5                5.3               77.2  
1893      6                8.6              109.2  
1893      7               10.7              144.3  
1893      8               11.0               34.3  
1893      9                7.7              133.6  
1893     10                5.2               39.1  
1893     11               -2.7               39.2  
1893     12               -5.9               24.8  
1894      1               -7.4               11.2  
1894      2               -4.9              105.8  
1894      3               -2.4               19.6  
1894      4                2.8               38.7  
1894      5                5.4               69.3  
1894      6                8.2               71.6  
1894      7               11.4              140.4  
1894      8                9.6              128.5  
1894      9                6.5              136.3  
1894     10                3.3               51.2  
1894     11               -0.1               16.5  
1894     12               -6.9               40.4  
1895      1              -10.5               53.2  
1895      2              -10.9                6.4  
1895      3               -3.3               64.0  
1895      4                2.5               42.7  
1895      5                5.3               94.0  
1895      6                8.7               67.7  
1895      7               11.8              133.5  
1895      8                9.7              103.5  
1895      9                9.6               18.0  
1895     10                3.1               51.7  
1895     11                2.1               30.2  
1895     12               -5.2              160.8  
1896      1               -8.7               51.0  
1896      2               -5.2               38.7  
1896      3               -0.8              205.7  
1896      4               -1.3              111.7  
1896      5                3.6               29.0  
1896      6                9.3              116.1  
1896      7               11.1              199.0  
1896      8                7.5              172.9  
1896      9                6.6              124.1  
1896     10                2.8               90.6  
1896     11               -3.1               24.6  
