Federal Office of Meteorology and Climatology MeteoSwiss
MeteoSchweiz / MeteoSuisse / MeteoSvizzera / MeteoSwiss

Monthly homogenized values

Station:                  Bern / Zollikofen
Altitude [m asl]:         553 m
Coordinates:              46° 59.4' N / 7° 27.8' E

Reference date of homogenization:
         Temperature:     01.12.2007
         Precipitation:   01.12.2007

Last inhomogeneity provisionally corrected:
         Temperature:     yes
         Precipitation:   yes

Units:
         Temperature:     °C
         Precipitation:   mm

Missing values:           NA

Data source:              MeteoSwiss
Creation date:            2.01.2016


Year  Month        Temperature      Precipitation  
1878      1               -2.9               84.3  
1878      2                0.2               21.5  
1878      3                2.5               53.3  
1878      4                7.3              128.5  
1878      5               13.0              128.5  
1878      6               14.7              144.8  
1878      7               16.5               91.3  
1878      8               15.9              145.3  
1878      9               12.7               52.7  
1878     10                8.4               86.8  
1878     11                1.0               66.9  
1878     12               -4.2              120.3  
1879      1               -2.7               58.4  
1879      2                0.7              120.3  
1879      3                3.6               22.8  
1879      4                5.0               78.9  
1879      5                7.6              109.0  
1879      6               15.4               78.1  
1879      7               14.2              179.4  
1879      8               17.5              105.8  
1879      9               12.8               96.0  
1879     10                5.9               80.3  
1879     11               -0.9               79.3  
1879     12              -10.5               33.0  
1880      1               -6.6               22.6  
1880      2               -0.6               32.2  
1880      3                5.8                9.6  
1880      4                7.7               89.8  
1880      5               10.2               24.8  
1880      6               13.4              144.3  
1880      7               17.9              113.5  
1880      8               15.3              146.5  
1880      9               13.2               82.5  
1880     10                8.2              178.1  
1880     11                3.6               36.3  
1880     12                3.6               60.7  
1881      1               -4.6               42.5  
1881      2                1.7               39.3  
1881      3                4.7               63.6  
1881      4                6.5               88.9  
1881      5               10.4               39.8  
1881      6               14.4               83.2  
1881      7               19.7               60.3  
1881      8               16.6              182.9  
1881      9               11.0              204.8  
1881     10                4.4               58.5  
1881     11                3.9               48.5  
1881     12               -1.2               30.7  
1882      1               -2.6                7.8  
1882      2               -0.3               21.7  
1882      3                5.3               25.5  
1882      4                7.1               65.7  
1882      5               11.7               67.4  
1882      6               13.9              150.3  
1882      7               14.9              139.0  
1882      8               14.3              104.7  
1882      9               10.9              205.8  
1882     10                8.7              131.3  
1882     11                4.2              129.4  
1882     12                0.1               96.0  
1883      1               -0.7               35.0  
1883      2                2.1               36.7  
1883      3               -0.5               48.8  
1883      4                6.6               35.9  
1883      5               11.9              120.0  
1883      6               14.2              168.6  
1883      7               15.2              146.0  
1883      8               15.6               80.8  
1883      9               12.0              101.7  
1883     10                6.9               79.8  
1883     11                3.9               79.1  
1883     12               -1.0               56.1  
1884      1                0.9               18.3  
1884      2                1.6               66.5  
1884      3                5.0                9.0  
1884      4                6.4               31.1  
1884      5               12.8              116.0  
1884      6               12.2               62.2  
1884      7               17.3              174.7  
1884      8               16.4              117.3  
1884      9               12.8               63.4  
1884     10                7.0               33.4  
1884     11                1.1               14.3  
1884     12               -0.1               72.7  
1885      1               -5.0                5.2  
1885      2                2.7              109.4  
1885      3                3.0               56.0  
1885      4                8.2               16.4  
1885      5                9.2              130.2  
1885      6               16.3               56.6  
1885      7               18.1               38.2  
1885      8               15.8              104.0  
1885      9               11.9              143.7  
1885     10                6.5              173.5  
1885     11                3.5               42.7  
1885     12               -1.1               57.0  
1886      1               -2.9               61.8  
1886      2               -3.3               37.7  
1886      3                2.0               44.4  
1886      4                8.5  
