"year","yearlyMean","ecart"
1864,4.96818181818182,-1.30561447811448
1865,6.26893939393939,-0.00485690235690228
1866,6.425,0.151203703703704
1867,5.99545454545455,-0.278341750841751
1868,6.71287878787879,0.439082491582492
1869,5.94318181818182,-0.330614478114478
1870,5.33636363636364,-0.93743265993266
1871,4.93333333333333,-1.34046296296296
1872,6.55227272727273,0.278476430976431
1873,6.25227272727273,-0.0215235690235689
1874,5.72348484848485,-0.550311447811447
1875,5.72045454545455,-0.55334175084175
1876,6.13939393939394,-0.134402356902356
1877,6.05681818181818,-0.216978114478114
1878,5.46363636363636,-0.810159932659932
1879,4.54236111111111,-1.73143518518518
1880,6.16388888888889,-0.109907407407407
1881,5.70486111111111,-0.568935185185185
1882,5.81319444444444,-0.460601851851852
1883,5.29513888888889,-0.978657407407407
1884,5.99444444444444,-0.279351851851851
1885,5.76875,-0.505046296296296
1886,5.75902777777778,-0.514768518518518
1887,4.7468085106383,-1.526987785658
1888,5.00454545454545,-1.26925084175084
1889,4.86742424242424,-1.40637205387205
1890,4.90606060606061,-1.36773569023569
1891,4.95833333333333,-1.31546296296296
1892,5.72424242424242,-0.549553872053871
1893,6.08181818181818,-0.191978114478114
1894,5.76818181818182,-0.505614478114477
1895,5.46818181818182,-0.805614478114478
1896,5.08787878787879,-1.18591750841751
1897,6.18863636363636,-0.0851599326599324
1898,6.45984848484848,0.186052188552189
1899,6.34924242424242,0.0754461279461287
1900,6.37045454545455,0.0966582491582493
1901,5.12361111111111,-1.15018518518518
1902,5.49513888888889,-0.778657407407407
1903,5.57291666666667,-0.700879629629629
1904,6.22986111111111,-0.0439351851851848
1905,5.29027777777778,-0.983518518518518
1906,5.61805555555556,-0.655740740740741
1907,5.61527777777778,-0.658518518518518
1908,5.40208333333333,-0.871712962962962
1909,4.98472222222222,-1.28907407407407
1910,5.53819444444444,-0.735601851851851
1911,6.47986111111111,0.206064814814815
1912,5.47361111111111,-0.800185185185184
1913,6.05486111111111,-0.218935185185185
1914,5.58333333333333,-0.690462962962963
1915,5.52361111111111,-0.750185185185185
1916,5.825,-0.448796296296296
1917,4.94166666666667,-1.33212962962963
1918,5.95625,-0.317546296296296
1919,5.21805555555556,-1.05574074074074
1920,6.65,0.376203703703704
1921,6.83194444444444,0.558148148148149
1922,5.33541666666667,-0.93837962962963
1923,6.13611111111111,-0.137685185185185
1924,5.67361111111111,-0.600185185185185
1925,5.75694444444444,-0.516851851851851
1926,6.47291666666667,0.199120370370371
1927,6.21041666666667,-0.0633796296296287
1928,6.64375,0.369953703703704
1929,5.82777777777778,-0.446018518518518
1930,6.55138888888889,0.277592592592593
1931,5.38888888888889,-0.884907407407407
1932,5.85416666666667,-0.419629629629629
1933,5.55416666666667,-0.71962962962963
1934,6.66736111111111,0.393564814814815
1935,5.83611111111111,-0.437685185185185
1936,6.14930555555556,-0.124490740740741
1937,6.35763888888889,0.0838425925925934
1938,6.08541666666667,-0.18837962962963
1939,5.74861111111111,-0.525185185185185
1940,5.16805555555556,-1.10574074074074
1941,5.30625,-0.967546296296296
1942,5.98055555555556,-0.293240740740741
1943,6.94722222222222,0.673425925925926
1944,5.74722222222222,-0.526574074074074
1945,6.64097222222222,0.367175925925927
1946,6.42638888888889,0.152592592592593
1947,7.29027777777778,1.01648148148148
1948,6.87083333333333,0.597037037037038
1949,7.11597222222222,0.842175925925926
1950,6.7375,0.463703703703704
1951,6.44583333333333,0.172037037037037
1952,6.2375,-0.036296296296296
1953,6.48680555555556,0.21300925925926
1954,5.77847222222222,-0.495324074074074
1955,5.98819444444444,-0.285601851851851
1956,4.86041666666667,-1.41337962962963
1957,6.36111111111111,0.0873148148148148
1958,6.30763888888889,0.0338425925925927
1959,6.97638888888889,0.702592592592593
1960,6.19236111111111,-0.0814351851851844
1961,7.14583333333333,0.872037037037037
1962,5.45694444444444,-0.816851851851851
1963,5.33611111111111,-0.937685185185185
1964,6.49652777777778,0.222731481481482
1965,5.45555555555556,-0.81824074074074
1966,6.40555555555556,0.13175925925926
1967,6.41597222222222,0.142175925925926
1968,6.05,-0.223796296296296
1969,5.77777777777778,-0.496018518518518
1970,5.82569444444444,-0.448101851851852
1971,6.26319444444444,-0.0106018518518516
1972,5.96666666666667,-0.307129629629629
1973,5.93541666666667,-0.338379629629629
1974,6.34027777777778,0.0664814814814818
1975,6.38333333333333,0.109537037037038
1976,6.3625,0.088703703703704
1977,6.42777777777778,0.153981481481482
1978,5.76527777777778,-0.508518518518518
1979,6.15,-0.123796296296296
1980,5.56388888888889,-0.709907407407407
1981,6.21597222222222,-0.0578240740740741
1982,6.97986111111111,0.706064814814815
1983,6.92430555555556,0.65050925925926
1984,5.97708333333333,-0.296712962962962
1985,5.98333333333333,-0.290462962962962
1986,6.37638888888889,0.102592592592593
1987,6.35763888888889,0.0838425925925934
1988,7.09791666666667,0.824120370370371
1989,7.39791666666667,1.12412037037037
1990,7.37916666666667,1.10537037037037
1991,6.71527777777778,0.441481481481482
1992,7.31527777777778,1.04148148148148
1993,6.92152777777778,0.647731481481482
1994,8.14583333333333,1.87203703703704
1995,7.03611111111111,0.762314814814816
1996,6.44861111111111,0.174814814814815
1997,7.50416666666667,1.23037037037037
1998,7.13263888888889,0.858842592592593
1999,7.13194444444444,0.858148148148149
2000,7.73888888888889,1.46509259259259
2001,7.23541666666667,0.961620370370371
2002,7.81736111111111,1.54356481481482
2003,7.95277777777778,1.67898148148148
2004,7.17569444444444,0.901898148148149
2005,6.78472222222222,0.510925925925926
2006,7.64444444444444,1.37064814814815
