code,en,fr,de,it,pt,ar,ru,es,ja,zh
title,2015: record warm year in Switzerland ,2015: année record de chaleur en Suisse,2015: Jahr der Rekordwärme in der Schweiz,2015: un caldo da record in Svizzera,2015: Ano recorde de calor na Suíça,,Год 2015-й был в Швейцарии рекордно теплым,2015: año récord de calor en Suiza,スイスで記録的な暑さとなった２０１５年,2015：瑞士高温创纪录之年
subtitle,Average temperature at altitude in Säntis (2502m) and Engelberg (1036m),"Température moyenne mesurée en altitude, à Säntis (2502m) et Engelberg (1036m)","In höheren Lagen gemessene mittlere Temperatur, auf dem Säntis (2502m) und in Engelberg (1036) ","Temperatura media misurata in altitudine, a Säntis (2502m) e a Engelberg (1036m)","Temperatura média medida em altitude, Säntis (2502m) e Engelberg (1036m)",,Средняя температура на вершинах Сэнтис (2 502 м) и Энгельберг (1 036 м),"Temperatura media en altitud, en Säntis (2 502m) y Engelberg (1 036m)",センティス山（標高２５０２ｍ）とエンゲルベルク（標高１０３６ｍ）で観測された平均気温,海拔平均气温：森蒂斯峰 (2502米) 和英格堡(1036米)
monthly.average,Monthly average 1864-2014,Moyenne mensuelle 1864-2014,Monatlicher Durchschnitt 1864-2014,Media mensile 1864-2014,Média mensal 1864-2014,1864-2014,Среднемесячная температура в период с 1864 по 2014 гг.,Media mensual 1864-2014,１８６４～２０１４年の月平均気温,月平均气温：1864-2014年
overall.average,Average 1864-2014,Moyenne 1864-2014,Durchschnitt 1864-2014,Media 1864-2014,Média 1864-2014,1864-2014,Средняя годовая температура в период с 1864 по 2014 гг.,Media 1864-2014,１８６４～２０１４年の平均気温,平均气温：1864-2014年
footer,swissinfo.ch | source: MétéoSuisse,swissinfo.ch | source: MétéoSuisse,swissinfo.ch / Quelle: Meteo Schweiz,swissinfo.ch / fonte: MeteoSvizzera,swissinfo.ch | fonte: MétéoSuisse,swissinfo.ch,swissinfo.ch | Источник: MétéoSuisse,swissinfo.ch | fuente: MétéoSuisse,swissinfo.ch　出典：スイス気象台「メテオ・スイス」,瑞士资讯swissinfo.ch | 来源：瑞士气象局
font,Open Sans,Open Sans,Open Sans,Open Sans,Open Sans,Open Sans,Open Sans,Open Sans,Yuanti TC,Yuanti TC
