"year","yearlyMean","ecart"
1864,4.96818181818182,-2.12376262626263
1865,6.26893939393939,-0.823005050505051
1866,6.425,-0.666944444444445
1867,5.99545454545455,-1.0964898989899
1868,6.71287878787879,-0.379065656565657
1869,5.94318181818182,-1.14876262626263
1870,5.33636363636364,-1.75558080808081
1871,4.93333333333333,-2.15861111111111
1872,6.55227272727273,-0.539671717171718
1873,6.25227272727273,-0.839671717171718
1874,5.72348484848485,-1.3684595959596
1875,5.72045454545455,-1.3714898989899
1876,6.13939393939394,-0.952550505050505
1877,6.05681818181818,-1.03512626262626
1878,5.46363636363636,-1.62830808080808
1879,4.54236111111111,-2.54958333333333
1880,6.16388888888889,-0.928055555555556
1881,5.70486111111111,-1.38708333333333
1882,5.81319444444444,-1.27875
1883,5.29513888888889,-1.79680555555556
1884,5.99444444444444,-1.0975
1885,5.76875,-1.32319444444444
1886,5.75902777777778,-1.33291666666667
1887,4.7468085106383,-2.34513593380615
1888,5.00454545454545,-2.08739898989899
1889,4.86742424242424,-2.2245202020202
1890,4.90606060606061,-2.18588383838384
1891,4.95833333333333,-2.13361111111111
1892,5.72424242424242,-1.36770202020202
1893,6.08181818181818,-1.01012626262626
1894,5.76818181818182,-1.32376262626263
1895,5.46818181818182,-1.62376262626263
1896,5.08787878787879,-2.00406565656566
1897,6.18863636363636,-0.903308080808081
1898,6.45984848484848,-0.63209595959596
1899,6.34924242424242,-0.74270202020202
1900,6.37045454545455,-0.721489898989899
1901,5.12361111111111,-1.96833333333333
1902,5.49513888888889,-1.59680555555556
1903,5.57291666666667,-1.51902777777778
1904,6.22986111111111,-0.862083333333334
1905,5.29027777777778,-1.80166666666667
1906,5.61805555555556,-1.47388888888889
1907,5.61527777777778,-1.47666666666667
1908,5.40208333333333,-1.68986111111111
1909,4.98472222222222,-2.10722222222222
1910,5.53819444444444,-1.55375
1911,6.47986111111111,-0.612083333333334
1912,5.47361111111111,-1.61833333333333
1913,6.05486111111111,-1.03708333333333
1914,5.58333333333333,-1.50861111111111
